,评论,评分
0,﻿ 真机 很漂亮 体验 看 评论 说 发烫 情况 几天 摄像头 有点 现在 挺 待机 感觉 xr 音效 总体 感觉 来说 不错,1
1,外观 好看 黄色 特别 喜欢 裸机 非常 好看 旁边 黑边 略微 习惯 还好 面部 解锁 非常 ios13 深色 界面 省 电 新机 电量 蛮 持久 中途 需要 充电 宝在 充电 整体 性价比 高,1
2,手感 光滑 圆润 质感 不像 中 略厚 一点点 适合 女孩子 无碍 诟病 屏幕 黑边 我觉 接受 范围 屏幕显示 真的 清晰 画质 细腻 系统 比安卓 系统 实实在在 真香机 实时 互动 上手 无 操作 难度 iPhone,1
3,这次 iphone11 值得 购买 拍摄 方面 很大 提升 夜景 模式 测试 看 原图 噪点 S10 mate20pro 都 细节 清楚 全程 自动识别 杜比 全景 声 空间感 很强 S10 还要 好点,1
4,手机 不错 毕竟 系统 强大 拍照 效果 音效 都 提升 操作 顺滑 待机 期间 长刚 激活 时 旧 手机 数据 传入 新手机 时会 热 没有 网上 说 打开 app 热 缺点 大黑 真的 够 宽 装上 手机 壳 强迫症 慎选,1
5,苹果 手机 手感 经典 白色 机身 搭配 银色 不锈钢 材质 边框 盖 屏幕 都 玻璃 很漂亮 支持 18 伏快 充 无线 充电器 开机 激活 京东 后台 服务 人员 和蔼 细心 利用 蓝牙 旧 手机 文件 资料 通讯录 都 导到 新手机 里面 真是太 方便 屏幕 分辨率 足够 音效 远超 苹果 手机 毕竟 双 喇叭 苹果 6S 不错 唯一 容量 换 手机 系统 始终 比安卓 系统 方便 耐用度 更好 毕竟 速度 非常 拍照 效果 够用 日常 旅游景点 拍照 够用 算法 调校 非常 不错 毕竟 最新 系统 速度 自然 优势 送给 老婆 生日礼物 老婆 喜欢 开心,1
6,浅紫色 很漂亮 显 干净 手机 真的 抢手 购物车 没货 好不容易 256G 内存 能用 久些 拍照 效果 音效 都 不错 待机时间 久 运行 速度 值得 购买,1
7,京东 物流 很快 预定 20 号 发货 第二天 相信 京东 效率 这代 苹果 一摸 手 xr 轻 做工 更好 系统 肯定 顺滑 a13 处理器 相信 打游戏 很棒 颜色 漂亮 反正 苹果 系统 比安卓 流畅 多人 买 肯定 优点 背面 玻璃 很漂亮 屏幕 xr 唯一 没有 手机套 这点 细心 总体 来说 满意 好评,1
8,外观 机身 旁边 部位 换成 磨砂 质感 音效 真的 不错 拍照 效果 很棒 特别 4k 视频 录制 特别 流畅 运行 速度 很快 待机 这方面 真的 扛 把子 拿到 第一天 屏幕 滑动 失灵 情况 重启 恢复正常 问 客服 说 系统 还 没 完善 解释 牵强 后续 继续 观察 问题 追评,1
9,23 号 拿到 机子 Xr 漂亮 XR 满满的 廉价 感 相比 双摄 确实 提升 质感 广角镜头 太帅 拍 风景 完美 跑 分 42 万多 7p 18 万跑 分 现在 依然 流畅 流畅性 说 目前 没有 网友 说 发热,1
10,说 五年 果粉     MacBook pro 现在 新款 Air   打开 包装 瞬间 震惊   特别 小巧   相当 舒服   喜欢   用来 办公 舒服   强推,1
11,电脑 包装 用心 第一 感觉 开箱 检查 没有 剐 蹭 满意 第一次 苹果 系统 还 熟悉 中 流畅 新机 缘故 都 要钱 烦人 很额,1
12,2017 配置 价格 2018 低 款 性价比 相当 不错 这是 这款 电脑 想 加装 windows 系统 相当 费周折 打电话 苹果 售后 没有 有效 支持 最后 一步步 摸索 顺利 装完,1
13,运行 速度 很快 屏幕 效果 屏幕 薄 看起来 舒服 散热 性能 散热 感觉 不太好 几个 软件 烫 厉害 外形 外观 挺 好看 适合 女生 轻薄 程度 薄 轻 特色 觉得 还 第一次 苹果电脑 摸索 中 希望 问题,1
14,起来 感觉 反应速度快 手 很快 128G 内存 点 苹果 系统 装 2016 Office 好评,1
15,快递 小哥 力 收到 时 外面 箱子 有点 凹 里面 没 影响 电脑 薄 薄 全身 铝合金 高级 感 5868 值得 拥有,1
16,踩 最低价 买 划算 没拿到 货 还 担心 屏幕 拿到 货 发现 白 担心 没有 网上 说 差 相对 价钱 装 office 操作 简单 方便 携带 安利 同事,1
17,电脑 超级 薄 好看 逼格 高 最 苹果 操作系统 非标 好用 触控板 键盘 体验 超棒 赞,1
18,棒棒 玩游戏 买来 听歌 看 电影 聊聊天 效果 真心 不错 苹果 出品 牛 包装 精致 满满的 喜欢,1
19,非常 好用 屏幕 一点 不好 看不清 都 完美 急 贪图便宜 买 屏幕 更好 整体 非常 满意 超级 满意 屏幕 清楚 再大,1
20,运行 速度 开机 比较慢 打开 运行 软件 流畅 屏幕 效果 满意 散热 性能 还 行 满足 需求 定位 办公 笔记本 外形 外观 完美 轻薄 程度 刀锋 锐利 特色 特别 喜欢,1
21,运行 速度 新机 今晚 刚装 还 挺快 屏幕 效果 效果 不错 散热 性能 性能 烫 外形 外观 外形 美观 符合 审美 轻薄 程度 轻薄 重 携带方便 好用 特色 五星 好评 送上 非常感谢 没有 货 配 派送 很快 昨天,1
22,运行 速度 速度 还 不错 轻薄 程度 轻薄 外形 外观 外观 很棒 屏幕 效果 显示 效果 不错 散热 性能 散热 还行 性价比 不错,1
23,运行 速度 非常 屏幕 效果 高清 喜欢 散热 性能 看 直播 视频   很快 发热   还行 外形 外观 非常 满意   毕竟 办公   轻薄 程度 非常 轻便   爱不释手 特色 指纹 方便   备忘录 加密   手机 备忘录 通用   手机 备忘录 需要 密码 才能 打开   方便 手机 保密 有效 增强 手机 备忘录 里 隐私,1
24,喜欢 电脑 精致 摸 质感 颜值 真的 高 键盘 触感 很棒 关键 续航 真的 厉害 早上 充满 操作 灵敏 电脑 薄 携带 方便,1
25,运行 速度 屏幕 效果 出色 散热 性能 外形 外观 漂亮 轻薄 程度 轻薄 特色 办公 良品 不错 一台 电脑 十分满意 没有 缺点,1
26,运行 速度 开机 挺快 十秒 ps 软件 玩游戏 都 流畅 够用 屏幕 效果 画质 不错 体验 还 散热 性能 玩游戏   散热 不差 目前 没 发现 过热 烫 情况 外形 外观 轻便 办公 必备 轻 这种 天天 敲 代码 每天 提着 咯   样子 好看 轻薄 程度 轻薄 适合 特色 价格 方面 还 接受 配置 看 情况 来定 总体 不错 物流 很快 目前 几个 月 没 毛病,1
27,运行 速度 开机 速度 非常 苹果 系统 流畅 用久 微软 习惯 用用 还 不错 屏幕 效果 色彩鲜艳 很漂亮 亮度 适中 看久 眼镜 太难受 适当 休息 看 电影 舒服 图片 好看 散热 性能 散热 性能 不错 超薄 本来 散热 不行 令人 惊讶 散热 性能 超级 棒 烫 外形 外观 外形 不用说 中规中矩 时尚 小苹果 标记 炒鸡拉风 炫酷 格调 哈哈哈哈 哈哈哈 轻薄 程度 轻薄 方便 办 办公 娱乐 看个 电影 电视剧 都 方便 舒服 随便 包里 一放 大小 正 正好 适中 总体 来说 不错 价格 不贵 非常 喜欢 一款 苹果 产品,1
28,目前 感觉 还 不错 速度 很快 流畅 美观 登录 留学 租房 网站 非常 电脑 不行 体积小 质量 轻 方便 音质 天呐 音质 太棒了 音效 绝 屏幕 清晰度   色彩鲜艳 啊啊啊 满意,1
29,运行 速度 流畅 很快 屏幕 效果 显色 效果 极好 轻薄 程度 即轻 还 薄 特色 苹果 一如 往常 舒适感 散热 性能 没有 声音 外形 外观 秀气 可爱,1
30,运行 速度 一点 不卡 屏幕 效果 超赞 散热 性能 散热 效果 外形 外观 漂亮 轻薄 程度 挺 薄 特色 炒鸡 喜欢 国庆 看 阅兵 音效 很棒,1
31,优点   轻 薄 外观 优美 做工 扎实   待机时间 长 满足 经常 携带 用户     整体 性能 弱 i5   3427U 还算 给力 SSD 速度 相当 Mac 散热 还 OK     Mac 系统 非常 流畅 用户 体验 出色 Windows 相比 系统 整洁 凌乱     屏幕 细腻 色彩 优秀 16 10   舒适 缺点   金属 机身 划花 需 小心     兼容 Mac 软件 相对 少     用户 硬盘 偏小 八千多 便宜 整体 品质 算值 价了   我用 Mac 系统 平时 用来 文字处理 看 视频 网页 Air 非常适合 需求 以用 Windows 用户 建议 入手 超级 本会 更好 选择 教育 版 优惠 还 送 beats   solo3 无线 蓝牙 耳机 活动 优惠 相当 给力,1
32,散热 性能 苹果 笔记本 名不虚传 非常 系统 非常 完善 里面 软件 非常 完善 一款 系统 里面 办公 软件 修图 软件 编辑 视频 软件 都 非常 电脑 现在 非常 看 视频 玩游戏 玩 好长时间 电脑 发热 非常 不错 笔记本电脑,1
33,运行 速度 非常 屏幕 效果 特别 清新 轻薄 程度 特别 轻薄 特色 性能 非常 散热 性能 非常 外形 外观 非常 棒 特别 好用 方便 携带 程序 猿 必备 设备,1
34,屏幕 效果 首 大小 起来 没有 问题 看剧 读书 学习 打游戏 都 流畅 运行 办公 类 软件 没有 问题 键盘 罗技 打字 无 压力 适合 便携式 办公 生   时尚 编辑 刚入 职场 白领 zwj zwj 教育工作者 zwj zwj 设计师 zwj zwj   轻 办公 便携 写 论文 学术报告 简单 财务 汇报 图表 文案 设计 图纸 设计 没有 问题,1
35,运行 速度 屏幕 效果 达标 散热 性能 还 行 外形 外观 满分 轻薄 程度 不错 特色 不太 适应 系统 dei 磨合 教育 优惠 购买 实惠 推荐 哈哈哈 嗝,1
36,屏幕 效果 苹果 笔记本 确实 非常 不错 运行 速度 很快 打游戏 办公 数据处理 非常 方便 系统 非常 特色 笔记本 最大 特色 方便 轻薄 续航 能力 特别 强 值得 推荐 款 笔记本 性价比 非常 高 太贵 非常 不错 选择,1
37,运行 速度 满足 日常 办公 娱乐 运行 速度 屏幕 效果 屏幕 效果 散热 性能 小时 轻微 发热 外形 外观 外观 漂亮 屏幕 轻薄 程度 薄 漂亮,1
38,旧式 笔记本电脑 五斤 重 写 论文 天天 背着 感觉 肩膀 废 买 新 电脑 买 轻 电脑 确实 薄 轻 满足 期待 感觉 速度 挺快,1
39,长草 久 看到 京东 十二分 期 免息 忍不住 想 买 pro 更好 屏幕 更好 性能 无奈 费用 太高 买来 发现 屏幕 不错 性 能够 续航 总体 满意 air   轻 发现 new   surface   pro   本体 加 键盘 还重 外观 真 漂亮,1
40,运行 速度 苹果 笔记本 运行 速度 很快 系统 还 不太熟悉 先 熟悉 熟悉 屏幕 效果 屏幕 效果 很赞 没得说 散热 性能 散热 挺 毕竟 轻薄 办公 外形 外观 外形 很漂亮 买 银色 美 设计 轻薄 程度 薄,1
41,运行 速度 还行 屏幕 效果 显示 高清 散热 性能 散热 不行 外形 外观 非常 喜欢 轻薄 程度 超薄   挺 特色 方便 易带,1
42,运行 速度 速度 很快 没有 用过 这是 第一次 开 机关 机和 运行 速度 都 很快 屏幕 效果 屏幕 清晰度 高 散热 性能 散热 性能 良好 下午 热 温 那种 外形 外观 外观 非常 非常 好看 科技 感 强 轻薄 程度 非常 轻便 装在 书包 里 一本 专业课 书 重量 真的 薄 好看 方便 特色 快递 包裹 严实 查 序列号 新品,1
